monitor/over_goal_rate,monitor/grasp_rate,monitor/mean_best_success_streak,monitor/transport_ready_rate,monitor/num_episodes,monitor/mean_contact_stability,monitor/termination_time_limit,monitor/lifted_grasp_rate,monitor/threshold_cross_rate,monitor/mean_best_goal_distance_xy,monitor/near_success_rate,monitor/success_rate,monitor/mean_dual_contact_stability,monitor/mean_reward,monitor/release_rate,monitor/mean_episode_length,monitor/placement_rate,monitor/mean_max_lift_height,monitor/settle_rate,monitor/mean_goal_distance_xy,validation/over_goal_rate,validation/release_rate,validation/mean_reward,validation/num_episodes,validation/mean_best_goal_distance_xy,validation/mean_best_success_streak,validation/grasp_rate,validation/success_rate,validation/near_success_rate,validation/transport_ready_rate,validation/mean_dual_contact_stability,validation/threshold_cross_rate,validation/mean_goal_distance_xy,validation/settle_rate,validation/mean_contact_stability,validation/lifted_grasp_rate,validation/mean_max_lift_height,validation/termination_time_limit,validation/mean_episode_length,validation/placement_rate,train/ent_coef_loss,train/critic_loss,train/actor_loss,train/ent_coef,train/learning_rate,train/n_updates,monitor/termination_dropped,validation/termination_dropped
0.0,0.0,0.0,0.0,20,0.0,20.0,0.0,0.0,0.34459338968657677,0.0,0.0,0.0,-0.06031717227052171,0.0,250.0,0.0,0.03,0.0,0.34459338968657677,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,0.0,0.0,-0.06575928650729036,100,0.34033391936865287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34033391936865287,0.0,0.0,0.0,0.03,100.0,250.0,0.0,,,,,,,,
0.0,0.0,0.0,0.0,20,0.0,20.0,0.0,0.0,0.34459338968657677,0.0,0.0,0.0,-0.08686689197557197,0.0,250.0,0.0,0.03,0.0,0.34459338968657677,,,,,,,,,,,,,,,,,,,,,-2.5192906856536865,0.08418728411197662,-14.187862396240234,0.6873891353607178,0.0003,1250,,
,,,,,,,,,,,,,,,,,,,,0.0,0.0,-0.09262911822139726,100,0.34033391936865287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34033391936865287,0.0,0.0,0.0,0.03,100.0,250.0,0.0,,,,,,,,
0.0,0.0,0.0,0.0,20,0.0,20.0,0.0,0.0,0.34459338968657677,0.0,0.0,0.0,0.10601315545236338,0.0,250.0,0.0,0.03,0.0,0.34459338968657677,,,,,,,,,,,,,,,,,,,,,-6.727040767669678,0.034523651003837585,-23.605052947998047,0.3679003417491913,0.0003,3334,,
,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.10963904194810721,100,0.3403337592316732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34033458787152726,0.0,0.00012,0.0,0.03000168941650072,100.0,250.0,0.0,,,,,,,,
0.0,0.0,0.0,0.0,20,0.0054,20.0,0.0,0.0,0.34459338968657677,0.0,0.0,0.0,0.4402382894808194,0.0,250.0,0.0,0.030976685958279074,0.0,0.3502136059745178,,,,,,,,,,,,,,,,,,,,,-10.867518424987793,0.14163385331630707,-26.619251251220703,0.19701820611953735,0.0003,5418,,
,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.9824843954644862,100,0.3403308223496358,0.0,0.14,0.0,0.0,0.07,0.00756,0.0,0.35726473779667123,0.0,0.01568,0.09,0.039406635942698956,100.0,250.0,0.0,,,,,,,,
0.0,0.5,0.0,0.0,20,0.2624,20.0,0.0,0.0,0.34459338968657677,0.0,0.0,0.1226,0.1630279939059668,0.0,250.0,0.0,0.030332043028804077,0.0,0.3755761214105795,,,,,,,,,,,,,,,,,,,,,-14.9307222366333,0.012106564827263355,-26.50446319580078,0.10563701391220093,0.0003,7502,,
,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.1169447340310115,100,0.34033203064251616,0.0,0.56,0.0,0.0,0.0,0.16432,0.0,0.3768529750886105,0.0,0.28696,0.0,0.030452091156082634,100.0,250.0,0.0,,,,,,,,
0.0,0.35,0.0,0.1,20,0.03346206896551724,19.0,0.1,0.0,0.34175132181045315,0.0,0.0,0.0118,0.15596458467363125,0.0,249.1,0.0,0.04192624608245104,0.0,0.4183700939917321,,,,,,,,,,,,,,,,,,,,,-18.358196258544922,0.037402424961328506,-24.499839782714844,0.0568455345928669,0.0003,9586,1.0,
,,,,,,,,,,,,,,,,,,,,0.0,0.0,-0.5035500926023985,100,0.3389022879611269,0.0,0.28,0.0,0.0,0.01,0.01236,0.0,0.3802320357914524,0.0,0.02680053182029894,0.01,0.03548060932656898,98.0,249.35,0.0,,,,,,,,2.0
0.0,0.0,0.0,0.0,20,0.0102,20.0,0.0,0.0,0.3443335062060095,0.0,0.0,0.0,-0.4565107809751122,0.0,250.0,0.0,0.03644376708956409,0.0,0.3588127264184261,,,,,,,,,,,,,,,,,,,,,-20.978784561157227,0.04898298904299736,-22.528091430664062,0.030873335897922516,0.0003,11670,,
,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.270902846402743,100,0.34014540926497916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3438719329191686,0.0,0.00852,0.0,0.033995284003754726,100.0,250.0,0.0,,,,,,,,
0.0,0.0,0.0,0.0,20,0.1444,20.0,0.0,0.0,0.34437038628374866,0.0,0.0,0.0,-2.0173305271477755,0.0,250.0,0.0,0.03753399601134179,0.0,0.3682275522695581,,,,,,,,,,,,,,,,,,,,,-22.327377319335938,0.06459692120552063,-20.01883316040039,0.017036693170666695,0.0003,13754,,
,,,,,,,,,,,,,,,,,,,,0.0,0.0,-1.5832292348036532,100,0.3356558878282773,0.0,0.06,0.0,0.0,0.0,0.02076,0.0,0.35436850800867103,0.0,0.11744,0.04,0.0375265336593721,100.0,250.0,0.0,,,,,,,,
0.0,0.15,0.0,0.0,20,0.0736,20.0,0.1,0.0,0.3343860195588917,0.0,0.0,0.027200000000000002,-0.5429934140615214,0.0,250.0,0.0,0.0340835982620957,0.0,0.34200675774222855,,,,,,,,,,,,,,,,,,,,,-19.215301513671875,0.0763295441865921,-17.7335147857666,0.009664235636591911,0.0003,15838,,
,,,,,,,,,,,,,,,,,,,,0.0,0.0,-0.322495421241351,100,0.33335649198024514,0.0,0.2,0.0,0.0,0.03,0.03104,0.0,0.3397322072260541,0.0,0.08368,0.09,0.034525964898485306,100.0,250.0,0.0,,,,,,,,
0.0,0.5,0.0,0.35,20,0.2792,20.0,0.45,0.0,0.33435173879299046,0.0,0.0,0.2642,2.2976234223231837,0.0,250.0,0.0,0.05558473727728585,0.0,0.3486033277432303,,,,,,,,,,,,,,,,,,,,,-15.464936256408691,0.08699298650026321,-15.661354064941406,0.005644471384584904,0.0003,17922,,
,,,,,,,,,,,,,,,,,,,,0.0,0.0,2.0269359735255073,100,0.33357809847780134,0.0,0.48,0.0,0.0,0.36,0.26304,0.0,0.3545659351260976,0.0,0.27604,0.41,0.056073716378065325,100.0,250.0,0.0,,,,,,,,
0.0,0.2,0.0,0.2,20,0.12539999999999998,20.0,0.2,0.0,0.34459338968657677,0.0,0.0,0.1192,0.46344127184960465,0.0,250.0,0.0,0.03903309561077769,0.0,0.3541173220076188,,,,,,,,,,,,,,,,,,,,,-9.474756240844727,0.06458437442779541,-14.069109916687012,0.0034960859920829535,0.0003,20006,,
,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.06852263485162832,100,0.34033391936865287,0.0,0.17,0.0,0.0,0.15,0.0982,0.0,0.364517038431342,0.0,0.175,0.15,0.03698038029569786,100.0,250.0,0.0,,,,,,,,
0.0,0.9,0.0,0.0,20,0.7504,20.0,0.9,0.0,0.34459338968657677,0.0,0.0,0.709,-3.6072047723265244,0.0,250.0,0.0,0.06166140091112785,0.0,0.4088226807924009,,,,,,,,,,,,,,,,,,,,,-6.868470668792725,0.12858110666275024,-12.522392272949219,0.0022760662250220776,0.0003,22090,,
,,,,,,,,,,,,,,,,,,,,0.0,0.0,-3.039635327478813,100,0.3401505163743863,0.0,0.85,0.0,0.0,0.11,0.6607999999999999,0.0,0.40947492876313984,0.0,0.68152,0.82,0.05967611234190115,100.0,250.0,0.0,,,,,,,,
0.0,0.8,0.0,0.0,20,0.53,20.0,0.5,0.0,0.34459338968657677,0.0,0.0,0.463,-4.86772901124044,0.0,250.0,0.0,0.04961843384923516,0.0,0.4159707991499174,,,,,,,,,,,,,,,,,,,,,-2.360443592071533,0.49105119705200195,-11.254426002502441,0.0017674571136012673,0.0003,24174,,
,,,,,,,,,,,,,,,,,,,,0.0,0.0,-5.090804975841377,100,0.340329564956755,0.0,0.77,0.0,0.0,0.11,0.56992,0.0,0.409424192771883,0.0,0.62524,0.63,0.05416425369828479,100.0,250.0,0.0,,,,,,,,
0.0,0.95,0.0,0.45,20,0.5446,20.0,0.5,0.0,0.34445106873982184,0.0,0.0,0.461,0.5524784003919978,0.0,250.0,0.0,0.05457644310974835,0.0,0.4047879385716904,,,,,,,,,,,,,,,,,,,,,1.5042304992675781,0.17557558417320251,-10.058396339416504,0.0020431471057236195,0.0003,26258,,
,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.6313470462463721,100,0.3395284009412077,0.0,0.8,0.0,0.0,0.55,0.55972,0.0,0.40000898616455244,0.0,0.65444,0.64,0.06266139452125061,100.0,250.0,0.0,,,,,,,,
0.35,0.95,0.0,0.65,20,0.6396,20.0,0.75,0.0,0.1630079159815767,0.0,0.0,0.5108,-0.5916446906427729,0.0,250.0,0.0,0.10684935676955665,0.0,0.19782289395027952,,,,,,,,,,,,,,,,,,,,,-0.061321958899497986,0.16626384854316711,-9.056233406066895,0.002246886258944869,0.0003,28342,,
,,,,,,,,,,,,,,,,,,,,0.24,0.0,-0.15985925512906146,100,0.21165980334621876,0.0,0.84,0.0,0.0,0.55,0.52112,0.0,0.2528357902044829,0.0,0.68952,0.64,0.09185390271195094,100.0,250.0,0.0,,,,,,,,
0.25,0.75,0.0,0.35,20,0.662,20.0,0.5,0.0,0.2447382011297108,0.0,0.0,0.4198,-1.4639529820752835,0.0,250.0,0.0,0.07291212297486915,0.0,0.294120563319196,,,,,,,,,,,,,,,,,,,,,1.1786532402038574,0.23584911227226257,-8.308963775634766,0.002273441292345524,0.0003,30426,,
,,,,,,,,,,,,,,,,,,,,0.22,0.0,-1.1510696350399174,100,0.24151582500031035,0.0,0.76,0.0,0.0,0.37,0.4264,0.02,0.2960153747755358,0.0,0.6296,0.48,0.07652207367659196,100.0,250.0,0.02,,,,,,,,
0.05,0.5,0.0,0.1,20,0.4774,20.0,0.1,0.05,0.2915879828515086,0.0,0.0,0.232,-6.834572146096098,0.0,250.0,0.05,0.04603676806259656,0.0,0.30808144075376137,,,,,,,,,,,,,,,,,,,,,0.047187045216560364,0.3848569989204407,-7.575411796569824,0.002159138908609748,0.0003,32510,,
,,,,,,,,,,,,,,,,,,,,0.01,0.0,-5.167115115043026,100,0.3170879307870384,0.0,0.43,0.0,0.0,0.19,0.19928,0.01,0.35276408740344406,0.0,0.4172,0.21,0.04779342905986288,100.0,250.0,0.01,,,,,,,,
0.0,0.85,0.0,0.1,20,0.508,20.0,0.1,0.0,0.32178358027951703,0.0,0.0,0.4114,-3.2092545387416305,0.0,250.0,0.0,0.04156893858119076,0.0,0.33559706693991637,,,,,,,,,,,,,,,,,,,,,2.05267596244812,0.058458492159843445,-6.93553352355957,0.0022825896739959717,0.0003,34594,,
,,,,,,,,,,,,,,,,,,,,0.02,0.0,-3.0225973820025094,100,0.3103918005800697,0.0,0.6,0.0,0.0,0.23,0.33792,0.02,0.3344841973577664,0.0,0.43752,0.25,0.05283817539052362,100.0,250.0,0.02,,,,,,,,
0.15,0.65,0.0,0.2,20,0.6338,20.0,0.2,0.0,0.26950309043703174,0.0,0.0,0.2226,-3.311466530948174,0.0,250.0,0.0,0.059675709021957804,0.0,0.28399958528327884,,,,,,,,,,,,,,,,,,,,,1.1657896041870117,0.2418767362833023,-6.315229415893555,0.00227820104919374,0.0003,36678,,
,,,,,,,,,,,,,,,,,,,,0.22,0.0,-1.8370544334799495,100,0.21615515396635268,0.0,0.7,0.0,0.0,0.38,0.33884000000000003,0.0,0.24086132709884545,0.0,0.61228,0.39,0.08315031355612382,100.0,250.0,0.0,,,,,,,,
0.0,0.85,0.0,0.5,20,0.389,20.0,0.5,0.0,0.19990655955895634,0.0,0.0,0.2938,-1.2898433561426437,0.0,250.0,0.0,0.07383475895977472,0.0,0.31893546159857533,,,,,,,,,,,,,,,,,,,,,0.02635812759399414,0.3131558299064636,-5.921806812286377,0.002328278962522745,0.0003,38762,,
,,,,,,,,,,,,,,,,,,,,0.24,0.01,-0.23429234331549106,100,0.17208965309819604,0.0,0.8,0.0,0.0,0.56,0.3312,0.24,0.2835162062347175,0.0,0.42432000000000003,0.56,0.0789810299952776,100.0,250.0,0.24,,,,,,,,
0.2,0.45,0.0,0.4,20,0.4666,20.0,0.4,0.2,0.2175643539779247,0.0,0.0,0.3652,0.06653564100611396,0.0,250.0,0.2,0.07174859096703072,0.0,0.2725220131272308,,,,,,,,,,,,,,,,,,,,,0.876285970211029,0.3424116373062134,-5.509565353393555,0.002616390585899353,0.0003,40834,,
,,,,,,,,,,,,,,,,,,,,0.17,0.0,-0.30575250990729136,100,0.21560017413044372,0.0,0.52,0.0,0.0,0.42,0.34852,0.17,0.2764519823457326,0.0,0.49244,0.42,0.07494799600001173,100.0,250.0,0.17,,,,,,,,
